repo_id,name,full_name,owner,stars,created_at,pushed_at,html_url,default_branch,description,archived,size_kb,engine
362852755,PopGLen,zjnolen/PopGLen,zjnolen,26,2021-04-29T14:52:52+00:00,2026-03-05T09:10:23+00:00,https://github.com/zjnolen/PopGLen,master,Bioinformatics pipeline to process whole genome resequencing data and perform genotype likelihood based population genomic analyses using ANGSD and related softwares. Flexible to datasets that combine high/low coverage and historical/fresh samples.,false,22251,snakemake
228350697,PEWO,phylo42/PEWO,phylo42,12,2019-12-16T09:32:03+00:00,2025-01-31T16:01:27+00:00,https://github.com/phylo42/PEWO,master,Phylogenetic Placement Evaluation Workflows : Benchmark placement software and different reference trees,false,8217,snakemake
421139649,kGWASflow,akcorut/kGWASflow,akcorut,45,2021-10-25T18:25:48+00:00,2024-04-18T15:33:51+00:00,https://github.com/akcorut/kGWASflow,main,kGWASflow is a Snakemake workflow for performing k-mers-based GWAS.,false,625,snakemake
106621728,pypsa-eur,PyPSA/pypsa-eur,PyPSA,544,2017-10-11T23:54:41+00:00,2026-03-06T18:34:17+00:00,https://github.com/PyPSA/pypsa-eur,master,PyPSA-Eur: A Sector-Coupled Open Optimisation Model of the European Energy System,false,150501,snakemake
54579435,snakepipes,maxplanck-ie/snakepipes,maxplanck-ie,399,2016-03-23T17:23:31+00:00,2026-03-09T12:44:17+00:00,https://github.com/maxplanck-ie/snakepipes,master,Customizable workflows based on snakemake and python for the analysis of NGS data,false,104117,snakemake
146719342,HRIBO,RickGelhausen/HRIBO,RickGelhausen,13,2018-08-30T08:25:52+00:00,2025-05-22T14:21:58+00:00,https://github.com/RickGelhausen/HRIBO,master,"We present HRIBO (High-throughput annotation by Ribo-seq), a workflow to enable reproducible and high-throughput analysis of bacterial Ribo-seq data. The workflow performs all required pre-processing steps and quality control.  Importantly, HRIBO outputs annotation-independent ORF predictions based on two complementary prokaryotic-focused tools, and integrates them with additional computed features. This facilitates both the rapid discovery of ORFs and their prioritization for functional characterization.",false,2797,snakemake
215093019,hecatomb,shandley/hecatomb,shandley,60,2019-10-14T16:29:07+00:00,2025-09-23T07:10:26+00:00,https://github.com/shandley/hecatomb,main,hecatomb is a virome analysis pipeline for analysis of Illumina sequence data,false,144873,snakemake
368304833,ViroConstrictor,RIVM-bioinformatics/ViroConstrictor,RIVM-bioinformatics,9,2021-05-17T19:48:02+00:00,2026-03-05T15:42:22+00:00,https://github.com/RIVM-bioinformatics/ViroConstrictor,main,ViroConstrictor is a pipeline designed to process raw FastQ data from viral amplicon-based sequencing and generate biologically correct consensus sequences of the given viral genome,false,4286,snakemake
627520321,ScanNeo2,ylab-hi/ScanNeo2,ylab-hi,16,2023-04-13T16:30:13+00:00,2025-11-01T20:36:30+00:00,https://github.com/ylab-hi/ScanNeo2,main,Snakemake-based computational workflow for neoantigen prediction from diverse sources,false,39673,snakemake
260516189,LepWrap,pdimens/LepWrap,pdimens,15,2020-05-01T17:18:28+00:00,2025-06-24T19:28:31+00:00,https://github.com/pdimens/LepWrap,main,A pipeline to use Lep-Map3 to create linkage maps and LepAnchor for anchoring and orienting genome assemblies with said linkage maps.,false,10216,snakemake
161474428,rna-seq-kallisto-sleuth,snakemake-workflows/rna-seq-kallisto-sleuth,snakemake-workflows,68,2018-12-12T10:51:17+00:00,2026-02-25T10:55:05+00:00,https://github.com/snakemake-workflows/rna-seq-kallisto-sleuth,main,A Snakemake workflow for differential expression analysis of RNA-seq data with Kallisto and Sleuth.,false,6140,snakemake
175406207,chipseq-smk-pipeline,JetBrains-Research/chipseq-smk-pipeline,JetBrains-Research,7,2019-03-13T11:20:48+00:00,2026-03-02T11:45:10+00:00,https://github.com/JetBrains-Research/chipseq-smk-pipeline,master,ChIP-Seq processing pipeline on snakemake,false,1323,snakemake
106008621,rna-seq-star-deseq2,snakemake-workflows/rna-seq-star-deseq2,snakemake-workflows,350,2017-10-06T13:37:06+00:00,2025-12-18T12:27:49+00:00,https://github.com/snakemake-workflows/rna-seq-star-deseq2,master,RNA-seq workflow using STAR and DESeq2,false,17383,snakemake
800100015,tucca-rna-seq,tucca-cellag/tucca-rna-seq,tucca-cellag,19,2024-05-13T17:44:05+00:00,2026-03-09T18:53:24+00:00,https://github.com/tucca-cellag/tucca-rna-seq,main,"TUCCA's RNA-Seq Workflow for Read Quantification, Differential Expression, and Pathway Enrichment Analysis",false,32981,snakemake
227202333,CompareM2,cmkobel/CompareM2,cmkobel,74,2019-12-10T19:46:41+00:00,2026-02-25T10:19:51+00:00,https://github.com/cmkobel/CompareM2,master,🦠🧬🧑‍💻📇 Microbial genomes-to-report pipeline,false,115043,snakemake
470061706,transflow,cvn001/transflow,cvn001,19,2022-03-15T08:09:08+00:00,2024-12-03T01:14:46+00:00,https://github.com/cvn001/transflow,master,A snakemake workflow for WGS-based tuberculosis transmission analysis,false,261452,snakemake
475097550,MrBiomics,epigen/MrBiomics,epigen,159,2022-03-28T16:57:54+00:00,2025-11-22T12:46:15+00:00,https://github.com/epigen/MrBiomics,main,MrBiomics: Composable modules and recipes automate bioinformatics for multi-omics analyses,false,41690,snakemake
461011024,genome-seek,OpenOmics/genome-seek,OpenOmics,30,2022-02-18T21:29:42+00:00,2025-10-27T19:51:45+00:00,https://github.com/OpenOmics/genome-seek,main,Clinical Whole Genome and Exome Sequencing Pipeline,false,976,snakemake
627797162,VIPERA,PathoGenOmics-Lab/VIPERA,PathoGenOmics-Lab,8,2023-04-14T08:13:21+00:00,2026-03-09T14:00:18+00:00,https://github.com/PathoGenOmics-Lab/VIPERA,main,A Snakemake workflow for SARS-CoV-2 Viral Intra-Patient Evolution Reporting and Analysis,false,8835,snakemake
