repo_id,pr_id,issue_id
217119558,74,68
217119558,74,70
217119558,67,68
217119558,65,39
217119558,65,64
217119558,63,62
217119558,61,16
217119558,58,16
217119558,56,54
217119558,53,52
217119558,51,24
217119558,51,31
217119558,51,36
217119558,45,38
217119558,43,37
217119558,40,33
217119558,40,35
140590861,524,477
140590861,524,488
140590861,524,496
140590861,524,514
140590861,523,514
140590861,522,517
140590861,521,519
140590861,520,504
140590861,518,511
140590861,515,511
118471337,221,219
484411424,214,168
484411424,212,202
484411424,210,189
484411424,208,169
484411424,194,184
484411424,192,187
484411424,190,188
484411424,186,183
484411424,185,182
484411424,181,157
484411424,181,159
484411424,177,123
484411424,177,170
484411424,176,116
484411424,172,171
484411424,151,121
862954512,177,122
862954512,170,40
862954512,160,151
862954512,156,112
862954512,154,151
862954512,148,49
862954512,132,131
862954512,129,118
862954512,127,80
862954512,125,27
862954512,102,98
862954512,101,99
862954512,96,77
862954512,76,75
862954512,63,42
862954512,63,58
862954512,63,60
862954512,63,62
862954512,63,67
862954512,63,68
479448074,42,36
479448074,18,17
670209670,218,217
180151993,523,522
180151993,517,515
180151993,513,512
180151993,511,510
180151993,508,507
180151993,502,375
180151993,482,480
180151993,482,481
180151993,467,397
180151993,459,386
180151993,439,444
502876529,221,145
502876529,221,199
502876529,216,215
502876529,213,138
502876529,211,182
502876529,211,206
502876529,210,209
502876529,205,185
502876529,205,196
502876529,204,188
502876529,204,189
502876529,201,199
502876529,197,196
502876529,194,178
502876529,181,179
502876529,174,150
502876529,166,157
502876529,166,159
601991905,179,178
601991905,176,146
601991905,175,168
601991905,173,172
601991905,171,170
601991905,165,163
601991905,155,152
601991905,153,150
601991905,141,124
601991905,138,137
601991905,136,37
601991905,126,108
601991905,123,129
601991905,116,107
601991905,115,110
601991905,112,69
601991905,112,80
601991905,112,92
601991905,112,113
601991905,106,105
601991905,101,100
154515688,381,380
628989424,29,28
628989424,11,7
628989424,9,6
784107790,82,78
784107790,67,63
784107790,47,46
883225159,116,60
684525354,154,153
533684870,135,134
581703811,24,23
320339763,273,272
320339763,220,219
320339763,210,203
